iter	RMSE
0	0.4165126874
1	0.4083678427
2	0.4009570751
3	0.3939790428
4	0.387706106
5	0.3817941273
6	0.3762482751
7	0.3711534593
8	0.3663478926
9	0.3620115266
10	0.3579253136
11	0.3541608873
12	0.3507260839
13	0.3474861913
14	0.3445385882
15	0.3417878733
16	0.3391478375
17	0.3369114055
18	0.3346535218
19	0.3325517378
20	0.3307137174
21	0.3287419004
22	0.3270248803
23	0.3254910292
24	0.3239072772
25	0.3224270661
26	0.3211586695
27	0.320058037
28	0.3189446453
29	0.317869121
30	0.3168603011
31	0.3159951721
32	0.3151381366
33	0.3143399987
34	0.3135932192
35	0.3128692712
36	0.3121517472
37	0.3115552849
38	0.3108761036
39	0.3102550582
40	0.309700434
41	0.3091728691
42	0.308668261
43	0.3082434682
44	0.3078283919
45	0.3073224447
46	0.306847687
47	0.3063847631
48	0.3059229478
49	0.305538668
50	0.3051892731
51	0.3048310887
52	0.3044670272
53	0.3041533164
54	0.3038565791
55	0.3035629577
56	0.3032199111
57	0.302943141
58	0.3026850256
59	0.3023635545
60	0.3021238318
61	0.3018386874
62	0.301594369
63	0.301335394
64	0.3011128
65	0.3008357635
66	0.3005594534
67	0.300324425
68	0.3000847062
69	0.299822199
70	0.2995483937
71	0.2993400733
72	0.2991635122
73	0.298977423
74	0.2988253565
75	0.2986655331
76	0.2984588305
77	0.2982929231
78	0.2981251832
79	0.297969585
80	0.2977103741
81	0.2974934852
82	0.2972844987
83	0.2971461327
84	0.2970369559
85	0.2968979543
86	0.2967230227
87	0.2965695737
88	0.2964154152
89	0.2962804236
90	0.2959707171
91	0.2958609401
92	0.2957226716
93	0.295612957
94	0.2954801585
95	0.2953805036
96	0.2952635681
97	0.2951402536
98	0.2950113963
99	0.2948497552
100	0.2946862777
101	0.2945389373
102	0.294393453
103	0.2943088372
104	0.2942032974
105	0.2940467727
106	0.2938987654
107	0.2937665668
108	0.2936303618
109	0.2935550173
110	0.2934425315
111	0.2933546984
112	0.2932746439
113	0.2932032162
114	0.2930877938
115	0.2930071486
116	0.2929089383
117	0.2927560507
118	0.2926407869
119	0.2925308438
120	0.2924131915
121	0.2923469142
122	0.2922764867
123	0.2922209038
124	0.2921328765
125	0.2920158126
126	0.2918656926
127	0.2917716765
128	0.2917364187
129	0.2916945942
130	0.2915779535
131	0.2914887761
132	0.2914298265
133	0.2912683434
134	0.291164232
135	0.2910474164
136	0.2909254923
137	0.2908495335
138	0.2907378653
139	0.2906956176
140	0.2906028318
141	0.2905367555
142	0.29042307
143	0.2903451211
144	0.2902456098
145	0.2901314169
146	0.2900336198
147	0.2899594466
148	0.2899034216
149	0.2897590802
150	0.2897162541
151	0.2895938876
152	0.2895461968
153	0.2894358149
154	0.289349934
155	0.2892766482
156	0.2891944627
157	0.2889957235
158	0.2889399672
159	0.2888396462
160	0.2887321843
161	0.2886631488
162	0.2885785406
163	0.2884877553
164	0.2884024449
165	0.2883041093
166	0.2882286166
167	0.2881597379
168	0.2881272245
169	0.2880200648
170	0.2879476219
171	0.2878720397
172	0.287794937
173	0.2876672636
174	0.2876208751
175	0.2874749916
176	0.2873756275
177	0.2872707421
178	0.2871814043
179	0.2871152538
180	0.2870863371
181	0.2870186221
182	0.2869346573
183	0.2868553436
184	0.2867939924
185	0.2867112199
186	0.2866210188
187	0.2865445389
188	0.2864926354
189	0.2864250591
190	0.2863211069
191	0.2862932314
192	0.2861123774
193	0.2860323108
194	0.285971951
195	0.2858953873
196	0.2858380939
197	0.2857594884
198	0.2856752907
199	0.2856228217
200	0.2855869735
201	0.2855471402
202	0.285440248
203	0.2853719265
204	0.2853151705
205	0.2852520097
206	0.285166427
207	0.2850251334
208	0.2849751888
209	0.2849059904
210	0.2848910458
211	0.2848438675
212	0.2846703819
213	0.2845067086
214	0.2844240813
215	0.2843471068
216	0.2842845885
217	0.2842283477
218	0.2841451392
219	0.2841021274
220	0.2840548599
221	0.2839779713
222	0.2838792445
223	0.2838083203
224	0.2837536424
225	0.2835922082
226	0.2835417512
227	0.2835299519
228	0.2834767398
229	0.2834089335
230	0.2833221636
231	0.2832311858
232	0.2831714722
233	0.2831260928
234	0.2830412834
235	0.2829719627
236	0.2829327471
237	0.2828970947
238	0.2828523259
239	0.2828305101
240	0.2827782028
241	0.2827097206
242	0.2826634311
243	0.2826186222
244	0.2825573851
245	0.2825148376
246	0.2824104277
247	0.2823585989
248	0.2823062069
249	0.2822817442
250	0.2822804428
251	0.2822535283
252	0.2822077876
253	0.2821776061
254	0.28216878
255	0.2820844976
256	0.2820130029
257	0.2819595619
258	0.2819171427
259	0.2818765713
260	0.2818015121
261	0.2817443735
262	0.2816855218
263	0.2815823243
264	0.2815497917
265	0.2815069955
266	0.2814588886
267	0.2814075444
268	0.281346479
269	0.2812941925
270	0.2812463834
271	0.2811566111
272	0.2811025378
273	0.2809800694
274	0.2808978895
275	0.2808514007
276	0.2807952623
277	0.28074815
278	0.2807069277
279	0.2806634369
280	0.2805965686
281	0.2805439155
282	0.2804907597
283	0.2804602507
284	0.2803884615
285	0.2803163656
286	0.2801665162
287	0.280042473
288	0.2800070428
289	0.2799344245
290	0.2798831873
291	0.279845349
292	0.2797322671
293	0.2796622603
294	0.27965363
295	0.2795555468
296	0.2794370767
297	0.2793834192
298	0.2793213754
299	0.2792790411
