iter	Passed	Remaining
0	17	17606
1	33	16710
2	49	16590
3	65	16284
4	81	16232
5	96	16066
6	113	16129
7	129	16003
8	144	15898
9	159	15755
10	173	15620
11	188	15487
12	204	15507
13	220	15499
14	234	15395
15	250	15376
16	267	15477
17	281	15380
18	295	15253
19	309	15183
20	324	15130
21	339	15074
22	351	14949
23	368	14996
24	382	14918
25	396	14847
26	410	14802
27	424	14747
28	439	14707
29	452	14627
30	466	14591
31	479	14516
32	494	14488
33	508	14443
34	521	14387
35	535	14342
36	549	14289
37	562	14244
38	575	14186
39	592	14210
40	605	14164
41	619	14123
42	632	14066
43	645	14029
44	658	13972
45	673	13962
46	686	13922
47	701	13905
48	714	13874
49	727	13816
50	740	13780
51	754	13748
52	767	13721
53	781	13693
54	794	13649
55	809	13642
56	822	13605
57	838	13611
58	853	13608
59	865	13557
60	878	13521
61	891	13484
62	903	13440
63	916	13399
64	928	13357
65	940	13312
66	954	13292
67	967	13265
68	980	13232
69	995	13219
70	1007	13186
71	1022	13173
72	1034	13132
73	1047	13103
74	1060	13081
75	1073	13050
76	1086	13024
77	1101	13019
78	1114	12995
79	1127	12969
80	1140	12938
81	1153	12910
82	1167	12894
83	1180	12871
84	1194	12862
85	1207	12837
86	1221	12822
87	1235	12802
88	1249	12785
89	1261	12758
90	1277	12756
91	1289	12731
92	1302	12703
93	1316	12687
94	1332	12689
95	1346	12675
96	1360	12663
97	1372	12636
98	1386	12619
99	1399	12598
100	1415	12601
101	1430	12592
102	1443	12573
103	1457	12556
104	1473	12556
105	1486	12539
106	1498	12508
107	1511	12485
108	1524	12462
109	1536	12431
110	1549	12410
111	1563	12397
112	1576	12371
113	1589	12352
114	1602	12335
115	1616	12321
116	1632	12319
117	1645	12299
118	1661	12297
119	1675	12287
120	1688	12267
121	1700	12240
122	1715	12231
123	1728	12213
124	1741	12189
125	1754	12168
126	1766	12141
127	1780	12127
128	1793	12111
129	1806	12087
130	1819	12071
131	1832	12050
132	1845	12033
133	1859	12015
134	1872	11999
135	1885	11979
136	1899	11962
137	1913	11951
138	1926	11933
139	1938	11910
140	1952	11895
141	1964	11867
142	1977	11849
143	1992	11842
144	2006	11829
145	2019	11815
146	2031	11787
147	2043	11766
148	2056	11746
149	2069	11729
150	2083	11712
151	2097	11699
152	2111	11691
153	2123	11665
154	2137	11650
155	2149	11631
156	2161	11606
157	2174	11588
158	2189	11581
159	2201	11560
160	2214	11538
161	2228	11526
162	2241	11508
163	2253	11489
164	2266	11468
165	2277	11440
166	2289	11420
167	2301	11397
168	2312	11369
169	2324	11349
170	2338	11334
171	2352	11323
172	2366	11311
173	2379	11294
174	2392	11276
175	2405	11261
176	2416	11237
177	2428	11215
178	2441	11200
179	2454	11182
180	2469	11175
181	2482	11158
182	2497	11151
183	2510	11135
184	2523	11118
185	2536	11098
186	2549	11082
187	2561	11064
188	2573	11044
